"region","especie","timepoint","mort_total","mort_prim_depredadores","mort_prim_embrionaria","mort_prim_eliminacion","mort_prim_ambiental","mort_prim_sin_causa_aparente","mort_prim_secundaria","mort_prim_otras","mort_prim_desadaptado","mort_prim_deforme","mort_prim_dano_mecanico","mort_sec_vibrio","mort_sec_ipn","mort_sec_furunculosis_atipica","mort_sec_bkd","mort_sec_srs","mort_sec_isa","mort_sec_sit","mort_sec_yersiniosis","mort_sec_micosis","mort_sec_francisellosis","mort_sec_flavobacteriosis","mort_sec_amebiasis","mort_sec_sindrome_icterico","mort_sec_hsmi","mort_sec_tenacibaculosis","mort_sec_estreptococosis","mort_sec_ich","mort_sec_exofialosis","mort_sec_shs","mort_sec_nefrocalcinosis","mort_sec_real","mort_total_real","n_observaciones","pct_prim_depredadores","pct_prim_embrionaria","pct_prim_eliminacion","pct_prim_ambiental","pct_prim_sin_causa_aparente","pct_prim_secundaria","pct_prim_otras","pct_prim_desadaptado","pct_prim_deforme","pct_prim_dano_mecanico","pct_sec_vibrio","pct_sec_ipn","pct_sec_furunculosis_atipica","pct_sec_bkd","pct_sec_srs","pct_sec_isa","pct_sec_sit","pct_sec_yersiniosis","pct_sec_micosis","pct_sec_francisellosis","pct_sec_flavobacteriosis","pct_sec_amebiasis","pct_sec_sindrome_icterico","pct_sec_hsmi","pct_sec_tenacibaculosis","pct_sec_estreptococosis","pct_sec_ich","pct_sec_exofialosis","pct_sec_shs","pct_sec_nefrocalcinosis"
"X Región","Salmón Atlántico","Semana 19 - Mayo 2024",163814,7114,0,20063,19224,2874,34160,22939,15352,5953,35413,0,0,0,119,19728,0,0,0,26,0,0,379,0,620,13270,0,0,11,0,7,34160,163092,898,4.36195521546121,0,12.3016456969073,11.7872121256714,1.76219557059819,20.9452333652172,14.0650675692247,9.41309199715498,3.65008706742207,21.713511392343,0,0,0,0.348360655737705,57.751756440281,0,0,0,0.076112412177986,0,0,1.10948477751756,0,1.81498829039813,38.8466042154567,0,0,0.0322014051522248,0,0.0204918032786885
"X Región","Salmón Atlántico","Semana 19 - Mayo 2025",109773,5210,0,7936,1424,1436,33949,26269,8407,2369,22070,0,0,32,353,21570,0,0,0,77,0,0,0,0,0,11893,0,0,17,0,7,33949,109070,757,4.77674887686807,0,7.27606124507197,1.30558357018429,1.31658567892179,31.125882460805,24.0845328687999,7.70789401301916,2.17199963326304,20.2347116530668,0,0,0.0942590356122419,1.03979498659754,63.5364811923768,0,0,0,0.226810804441957,0,0,0,0,0,35.0319597042623,0,0,0.0500751126690035,0,0.0206191640401779
"X Región","Salmón Atlántico","Semana 2 - Enero 2024",155076,2282,0,20008,3031,3108,70181,7549,14034,5276,28984,0,0,87,317,42461,0,0,0,0,0,0,896,7,639,25718,0,0,29,0,27,70181,154453,898,1.47747211125715,0,12.954102542521,1.96240927660842,2.01226263005575,45.4384181595696,4.88757097628405,9.08625925038685,3.4159258803649,18.7655791729523,0,0,0.123965175759821,0.451689203630612,60.5021302061812,0,0,0,0,0,0,1.27669882161839,0.00997420954389365,0.91050284264972,36.6452458642653,0,0,0.0413217252532737,0,0.0384719510978755
"X Región","Salmón Atlántico","Semana 2 - Enero 2025",138253,284,0,8908,464,1669,22934,36766,13498,3901,49620,0,0,269,1395,10764,0,0,0,5,0,0,4,0,0,10365,0,0,49,0,83,22934,138044,773,0.205731505896671,0,6.45301498073078,0.336124713859349,1.20903480049839,16.6135435078671,26.633537133088,9.77804178377908,2.82591057923561,35.9450609950451,0,0,1.17293101944711,6.08267201534839,46.9346821313334,0,0,0,0.0218016918112846,0,0,0.0174413534490276,0,0,45.1949071247929,0,0,0.213656579750589,0,0.361908084067324
"X Región","Salmón Atlántico","Semana 20 - Mayo 2024",154210,2626,0,11273,7467,2472,33886,31181,12575,3934,47922,0,0,3,188,17251,0,0,1,33,0,0,276,0,595,15533,0,0,2,0,4,33886,153336,898,1.7125789116711,0,7.35182866384933,4.86969791829707,1.6121458757239,22.0991808838107,20.3350811290238,8.20094433140293,2.56560755465122,31.2529347315699,0,0,0.00885321371657912,0.554801392905625,50.9089299415688,0,0,0.00295107123885971,0.0973853508823703,0,0,0.814495661925279,0,1.75588738712153,45.8389895532078,0,0,0.00590214247771941,0,0.0118042849554388
"X Región","Salmón Atlántico","Semana 20 - Mayo 2025",124128,2425,0,11212,1600,1841,45467,24483,9984,3214,23412,0,1,63,657,25640,0,0,0,27,0,0,0,0,0,19031,0,0,33,0,15,45467,123638,755,1.96137109950015,0,9.06840938869927,1.29410051925783,1.48902440997104,36.7742926931849,19.8021643831185,8.07518724016888,2.59952441805917,18.9359258480402,0,0.00219939736512196,0.138562034002683,1.44500406888513,56.392548441727,0,0,0,0.0593837288582928,0,0,0,0,0,41.856731255636,0,0,0.0725801130490246,0,0.0329909604768293
"X Región","Salmón Atlántico","Semana 21 - Mayo 2024",193813,6678,0,25820,23578,3129,47238,18618,18470,5022,44296,0,0,18,128,25300,0,0,0,66,0,0,540,0,436,20667,0,0,7,0,76,47238,192849,898,3.46281287432136,0,13.3887134493827,12.2261458446764,1.6225129505468,24.4948120031735,9.65418539893907,9.5774414178969,2.60410995130906,22.9692661097543,0,0,0.0381049155341039,0.270968288242517,53.5585757229349,0,0,0,0.139718023625048,0,0,1.14314746602312,0,0.922985731826072,43.750793852407,0,0,0.0148185782632626,0,0.160887421143994
"X Región","Salmón Atlántico","Semana 21 - Mayo 2025",135033,1734,0,15073,3906,1764,44940,24804,11121,2739,28455,0,0,45,273,27136,0,0,0,10,0,0,0,0,0,17429,0,0,41,0,6,44940,134536,775,1.28887435333294,0,11.2036926919189,2.90331212463579,1.31117321757745,33.4036986382827,18.4367009573646,8.26618897544152,2.03588630552417,21.150472735922,0,0,0.100133511348465,0.607476635514019,60.3827325322652,0,0,0,0.0222518914107699,0,0,0,0,0,38.7828215398309,0,0,0.0912327547841567,0,0.013351134846462
"X Región","Salmón Atlántico","Semana 22 - Junio 2024",214106,8815,0,19339,26924,2505,54548,39537,16055,7011,37197,0,11,3266,132,28238,0,0,0,1058,0,0,2618,1,1167,17991,0,0,0,1,65,54548,211931,1820,4.1593726259962,0,9.12513978606244,12.7041348363382,1.18198847738179,25.7385658539808,18.655600171754,7.57557884405774,3.30815218160628,17.5514672228225,0,0.020165725599472,5.98738725526142,0.241988707193664,51.7672508616265,0,0,0,1.93957615311285,0,0,4.79944269267434,0.00183324778177018,2.1394001613258,32.9819608418274,0,0,0,0.00183324778177018,0.119161105815062
"X Región","Salmón Atlántico","Semana 22 - Junio 2025",153459,4513,0,11684,3956,2040,59330,25032,9369,2775,34314,0,2,0,1673,38770,0,0,0,3,0,0,0,0,0,18859,0,0,20,0,3,59330,153013,1532,2.9494225980799,0,7.63595250076791,2.58540124041748,1.33322005319809,38.7744832138446,16.3593942998307,6.12300915608478,1.81357139589447,22.4255455418821,0,0.00337097589752233,0,2.81982133827743,65.3463677734704,0,0,0,0.0050564638462835,0,0,0,0,0,31.7866172256868,0,0,0.0337097589752233,0,0.0050564638462835
